"","language","family","script","Lmin","L","Lrand","eta","psi","omega"
"25","Portuguese","Indo-European","Latin",0.27877532463551,0.36716948773395,0.620945756274428,0.759255150410292,0.741666272345474,0.224257804579274
"26","Romanian","Indo-European","Latin",0.272409086624069,0.369447108181001,0.573315665356062,0.737342587319994,0.677514456593651,0.27758451082928
"27","Romansh","Indo-European","Latin",0.338873828685754,0.415850606444605,0.657922974835845,0.814893193454787,0.758730657368257,0.322990428532714
"28","Slovenian","Indo-European","Latin",0.367192237825508,0.443214907961518,0.630475788360715,0.828474474187564,0.711251728482582,0.290900869117218
"29","Spanish","Indo-European","Latin",0.210492475792454,0.369292391272511,0.625930239517404,0.569988661469946,0.61775281559335,0.125438939023043
"30","Swedish","Indo-European","Latin",0.233143200520827,0.288254795992541,0.531095075003838,0.808809441376508,0.815031888732564,0.303505237082149
"31","Welsh","Indo-European","Latin",0.231138677957967,0.332866820743772,0.58184677439989,0.694387855904355,0.709935003446232,0.197097987016705
"32","Western Frisian","Indo-European","Latin",0.264719607310293,0.331055491311166,0.612507537728445,0.799623067002616,0.809263409684411,0.373046492425711
"33","Oriya","Indo-European","Odia",0.365615048315286,0.413898392949715,0.505509507826412,0.883344933305176,0.654858778516606,0.426938206057318
"34","Dhivehi","Indo-European","Thaana",0.187917345130042,0.40157060518732,0.806182872383652,0.467955927805983,0.65443122632707,0.113514922455363
"35","Georgian","Kartvelian","Georgian",0.447816451494241,0.530818422582521,0.60644342578908,0.843633966800811,0.476747435565379,0.202895502570093
"36","Basque","Language isolate","Latin",0.332388640493172,0.452791315723139,0.630346010832798,0.734087931793313,0.59590637045586,0.207364687523086
"37","Mongolian","Mongolic","Mongolian",0.29538080743347,0.370815283558425,0.484231409696706,0.796571286379921,0.600560044707678,0.276940201986699
"38","Kinyarwanda","Niger-Congo","Latin",0.275704831828194,0.460739882716944,0.72861783100981,0.598395845834716,0.591455641098629,0.202437402248512
"39","Abkhazian","Northwest Caucasian","Cyrillic",0.6896860670194,0.754338624338624,0.816498888888889,0.914292394379369,0.49017334078598,0.41711590296496
"40","Hakha Chin","Sino-Tibetan","Latin",0.225566302150522,0.298824553521285,0.445208617263082,0.754845274568295,0.666465674734761,0.277816671665128
"41","Chuvash","Turkic","Cyrillic",0.379715313954336,0.461744929317763,0.5560963158155,0.822348638490461,0.534929417012866,0.285904797904588
"42","Kirghiz","Turkic","Cyrillic",0.350501161889619,0.45197999585241,0.573990490905435,0.775479368790631,0.545934320848002,0.200745921337195
"43","Tatar","Turkic","Cyrillic",0.310531783879518,0.391224752162136,0.523948408501362,0.793742681574565,0.621899332230566,0.274580832538778
"44","Yakut","Turkic","Cyrillic",0.349426689175217,0.439424435183154,0.539047853691433,0.795191758122359,0.525381324191579,0.330365106446972
"45","Turkish","Turkic","Latin",0.326356056804265,0.420000926698174,0.550040649654636,0.777036516014154,0.581353061913608,0.224542802041307
"46","Estonian","Uralic","Latin",0.324832859352586,0.404168206949433,0.579730803622787,0.803707104535383,0.6887564243643,0.260659446701335
