"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"117","Maltese",-0.191501436096963,-0.807623674399741,4.81137867346474e-116,-0.147370566987474,-0.223751919789869,8.62285041471874e-40,0.264425881162882,0.360531938923021,0.54595945105002,0.733432610583056,0.658633754409229,0.237117165045087,"meanDuration"
"118","Modern Greek",-0.199840366917068,-0.836692256660847,1.1102681461424e-92,-0.165593720962384,-0.233907202197811,3.27638332081238e-36,0.296525129012577,0.39406185730106,0.630493517285192,0.75248371167787,0.707946225710246,0.238845722935946,"meanDuration"
"119","Mongolian",-0.234983737720167,-0.848479175129092,0,-0.143784615736743,-0.239417552006361,3.94093013766993e-68,0.29538080743347,0.370815283558425,0.484231409696706,0.796571286379921,0.600560044707678,0.276946971249371,"meanDuration"
"120","Oriya",-0.298550520564001,-0.699298614081307,5.90706470540817e-31,-0.276988480813798,-0.42297437233908,4.40966993719292e-17,0.365615048315286,0.413898392949715,0.505509507826412,0.883344933305176,0.654858778516606,0.426928517449183,"meanDuration"
"121","Panjabi",-0.159727457139989,-0.442673238359398,0.0847319201939334,-0.114399472233733,-0.406143354861881,0.134819167427435,0.664954545454545,0.725818181818182,0.749684210526316,0.916144789579158,0.281672643081006,0.360824742268041,"meanDuration"
"122","Persian",-0.237049538132539,-0.987997974806395,0,-0.137425049445667,-0.212023473962492,1.13466796166929e-55,0.269733854905734,0.368768826992221,0.551210829272929,0.731444295619446,0.648159597035839,0.239929174125069,"meanDuration"
"123","Polish",-0.162327433994409,-0.948206932675599,4.10512919725815e-300,-0.118644337222958,-0.17067812492126,7.22842587250568e-79,0.307710317284487,0.389780595789548,0.576912346708658,0.789444935454476,0.695134993296257,0.171194101625436,"meanDuration"
"124","Portuguese",-0.204982366021067,-0.914064060718176,2.34862495293227e-236,-0.144619992049661,-0.194993351379333,1.03971755952835e-60,0.27877532463551,0.36716948773395,0.620945756274428,0.759255150410292,0.741666272345474,0.224253829496385,"meanDuration"
"125","Romanian",-0.214389574204759,-0.772349659713568,1.44515303576468e-112,-0.168391905855149,-0.24854363507131,3.46457684558916e-41,0.272409086624069,0.369447108181001,0.573315665356062,0.737342587319994,0.677514456593651,0.277580978392956,"meanDuration"
"126","Romansh",-0.250781762661451,-0.77640915768999,1.07733150597277e-233,-0.168306756428567,-0.221826750763384,5.80391197725444e-62,0.338873828685754,0.415850606444605,0.657922974835845,0.814893193454787,0.758730657368257,0.323002066858136,"meanDuration"
"127","Russian",-0.129878918755568,-0.942221396093632,2.10731040207399e-239,-0.100934674909927,-0.171927900431647,9.1092907206336e-72,0.305418500678247,0.42793849858011,0.602131403146844,0.713697182402654,0.587075597715773,0.137843312934767,"meanDuration"
"128","Slovenian",-0.246420046132479,-0.847065655605935,1.21279993675891e-142,-0.170932265873609,-0.240325976062348,1.48776521884288e-39,0.367192237825508,0.443214907961518,0.630475788360715,0.828474474187564,0.711251728482582,0.290910208083229,"meanDuration"
"129","Spanish",-0.114239930388799,-0.910730972063057,0,-0.0480605207119983,-0.0777989504844852,5.78873495352966e-39,0.210492475792454,0.369292391272511,0.625930239517404,0.569988661469946,0.61775281559335,0.12543762526272,"meanDuration"
"130","Swedish",-0.271660611530591,-0.895098794583792,6.28189907576496e-139,-0.171912782475716,-0.210927676391966,4.47067264603139e-30,0.233143200520827,0.288254795992541,0.531095075003838,0.808809441376508,0.815031888732564,0.30349790791184,"meanDuration"
"131","Tamil",-0.266576327897114,-0.862921048027227,1.72312910925692e-44,-0.18717502372883,-0.358049712859381,6.03322853113262e-13,0.473845934573111,0.572663588390501,0.68090780403303,0.827442051807201,0.522762669557957,0.308923195820231,"meanDuration"
"132","Tatar",-0.24047662244025,-0.875817041187292,0,-0.162175577568704,-0.26077464496871,5.63789549602547e-130,0.310531783879518,0.391224752162136,0.523948408501362,0.793742681574565,0.621899332230566,0.274574039018754,"meanDuration"
"133","Turkish",-0.199299408450441,-0.887567850821974,1.43146666410746e-148,-0.15430676475564,-0.265426940812382,8.98767337160532e-48,0.326356056804265,0.420000926698174,0.550040649654636,0.777036516014154,0.581353061913608,0.22454554687382,"meanDuration"
"134","Ukrainian",-0.170375380331974,-0.855736323079971,4.64353441897011e-169,-0.16270912247088,-0.228616736293222,1.15282520399364e-84,0.372114682892621,0.435559412814918,0.59218830183653,0.85433736924139,0.711711334476365,0.199097988173223,"meanDuration"
"135","Vietnamese",0.0239327498928172,-0.779332668926372,0.774387010639567,-0.0634176674143662,-0.425543700734434,0.129116496146771,0.226503165723166,0.330192307692308,0.348350967702449,0.685973478020071,0.149027390852961,-0.0307092860944577,"meanDuration"
"136","Welsh",-0.182533542283264,-0.926099846179616,6.52185663995629e-168,-0.14759689484492,-0.20790198275679,8.74715434695115e-56,0.231138677957967,0.332866820743772,0.58184677439989,0.694387855904355,0.709935003446232,0.197099203758924,"meanDuration"
"137","Western Frisian",-0.298361174867011,-0.799813758896573,1.06423473429348e-289,-0.147358872518228,-0.182090121405209,4.61485872061558e-41,0.264719607310293,0.331055491311166,0.612507537728445,0.799623067002616,0.809263409684411,0.373038312417421,"meanDuration"
"138","Yakut",-0.238993762782652,-0.723369992453089,6.7434577108096e-169,-0.170431482218337,-0.324395775736005,2.45310876532776e-52,0.349426689175217,0.439424435183154,0.539047853691433,0.795191758122359,0.525381324191579,0.330389379261058,"meanDuration"
