"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"68","Kinyarwanda",-0.209277790713254,-0.891048836458035,0,-0.0581231148713601,-0.0951096357186989,3.03093846390264e-100,0.267068152395994,0.44344062686693,0.720604235634902,0.60226360918468,0.611116996003097,0.234866802076914,"medianDuration"
"69","Kirghiz",-0.194973726104954,-0.885444253265182,7.98861223169317e-164,-0.153737900974705,-0.274799231823467,2.02368795874767e-55,0.344439836010656,0.443842104423565,0.570074783271411,0.776041372771503,0.559455352020295,0.220198759420443,"medianDuration"
"70","Latvian",-0.228601899676201,-0.729056560584372,7.63231236827855e-150,-0.187745891759659,-0.2452871951591,1.52540846206455e-61,0.329393405362672,0.391281704987153,0.593210985626283,0.841831859666137,0.765412526478936,0.313558524859808,"medianDuration"
"71","Maltese",-0.209535203038875,-0.808145546921823,3.25357342437555e-138,-0.151616137181411,-0.223365773308727,4.23396181189388e-42,0.259398491145645,0.350481342609324,0.542951030927835,0.740120684354923,0.678779630986046,0.259279041797584,"medianDuration"
"72","Modern Greek",-0.21418751589741,-0.837198145135145,6.2652658447977e-106,-0.168774798776381,-0.233417192468035,1.24495105875062e-37,0.291305964246164,0.384390655487001,0.627425437092904,0.757838308730725,0.723060700850019,0.255838497901635,"medianDuration"
"73","Mongolian",-0.249589497104641,-0.849214307959605,0,-0.149088190619703,-0.240174696038041,2.99066132318027e-73,0.291175500438857,0.363598063365327,0.482137563998922,0.800816972851412,0.620748950988946,0.2939063729441,"medianDuration"
"74","Oriya",-0.32172231584939,-0.699519101967618,9.32586369319159e-36,-0.293405286950766,-0.427355396129972,3.85248647888811e-19,0.360705028512183,0.405075168481078,0.502263843648208,0.890464428774364,0.686560388865505,0.459919271603084,"medianDuration"
"75","Panjabi",-0.202851284979547,-0.442722929467862,0.0154389129899031,-0.166942566327793,-0.401006959180076,0.0529409353679359,0.6605,0.709545454545454,0.744526315789474,0.930877642536835,0.416308401901888,0.458190148911798,"medianDuration"
"76","Persian",-0.245812157144751,-0.988814558616063,0,-0.139198811138492,-0.215147124439483,3.8048325875749e-57,0.256369578871017,0.35665170754905,0.540449773413897,0.718823360282828,0.646993593342895,0.248592777081263,"medianDuration"
"77","Polish",-0.174595266503987,-0.949909411428659,0,-0.121020573560624,-0.170600509664396,4.65854683172984e-82,0.298514589171156,0.377337684033089,0.569738419081411,0.791107280832783,0.709379906300955,0.183802017753879,"medianDuration"
