"","language","Lmin","L","Lrand","eta","psi","omega"
"L17","Modern Greek",0.291305964246164,0.627504068317249,0.627425437092904,0.464643239852295,-0.000233938318657207,-0.000271670317656294
"L18","Welsh",0.221555088655236,0.577318907023906,0.577657120473538,0.384049361490495,0.000949765571132229,1.76082169603186e-05
"L19","Czech",0.305108341316728,0.569454802277929,0.56908869760479,0.536002882458169,-0.00138686331924885,0.000331944017593563
"L20","German",0.234885689668281,0.76183805226165,0.76194420797808,0.308500262583593,0.000201411632184844,4.10602749156139e-05
"L21","Vietnamese",0.217623076923077,0.336916684615385,0.336376306620209,0.646698126776119,-0.00455042777829062,-0.000288917450722469
"L22","Indonesian",0.272094347708409,0.524185055598159,0.52424548074404,0.519432715376834,0.000239638605438383,0.000340515346550461
"L23","Kirghiz",0.344439836010656,0.570576476382663,0.570074783271411,0.603788950233309,-0.00222347254865839,-0.000201010128464868
"L24","Tatar",0.304906914710776,0.521597900837355,0.521567247792767,0.584626659626869,-0.000141479726134161,0.000289336518325757
"L25","French",0.186683201074147,0.63348597013332,0.632527620744746,0.294904350499854,-0.00214951527100375,3.5544390536389e-05
"L26","Hakha Chin",0.221639335055599,0.44218466022689,0.442043737574553,0.502465133271166,-0.000639382202562925,-0.000919732798478265
"L27","Chuvash",0.376121696373694,0.553582112784266,0.553632524707996,0.679515352924231,0.000283993512981403,0.000316187070565165
"L28","Swedish",0.219561012610221,0.525537753231567,0.524632914234396,0.418425885299524,-0.00296598602609184,0.000608249942608635
"L29","Slovenian",0.36410215135217,0.630489307060071,0.629848181514848,0.577785527218395,-0.00241254985005985,-5.75398840988336e-06
"L30","Russian",0.298201467793394,0.59697855838142,0.596985840042605,0.499646366032232,2.43709573250983e-05,-0.000180468092349093
"L31","Tamil",0.464275725593668,0.670226627308707,0.670439344262295,0.693068973996578,0.00103178705807356,0.00126589596713266
"L32","Georgian",0.446190814546864,0.605161743427427,0.605465072372561,0.737417838291961,0.00190444425405018,0.000115785904848029
"L33","Western Frisian",0.258011785765204,0.608937205316267,0.610288632854258,0.424183051558429,0.0038362655654441,0.000268490467210703
"L34","Maltese",0.259398491145645,0.542793277240694,0.542951030927835,0.478206946589853,0.0005563472902141,-0.000290183654907302
"L35","Romansh",0.332461418356264,0.655436374004345,0.656207019691868,0.507474626302675,0.00238040512162688,-0.000184167988195451
"L36","Dhivehi",0.175306195965418,0.793802136167147,0.790129032258065,0.233105183586719,-0.00597424768935246,-0.00409028139656071
"L37","Yakut",0.346644878262777,0.537452552314104,0.537232309414252,0.64507287434465,-0.00115560033797235,-0.000295505578897411
"L38","Persian",0.256369578871017,0.540059382537102,0.540449773413897,0.474919212387158,0.00137422771560666,-0.000180772664241242
"L39","Irish",0.224589468594787,0.466107463627972,0.466845521419299,0.482611322482407,0.003046602067199,-0.00116348443593209
"L40","English",0.189557102178509,0.668711459478761,0.669088732264497,0.283719354461752,0.0007867526604405,1.78862647115404e-05
"L41","Esperanto",0.349433228840125,0.814084599864774,0.813651367607046,0.42954291901948,-0.000933251464233096,-0.000189741939474055
"L42","Ukrainian",0.365744354625405,0.589446047039278,0.588930134037086,0.620601480293622,-0.00231158545832103,-0.000360883409948805
"L43","Assamese",0.36999,0.508688545,0.508,0.727708514124234,-0.00498909499311645,-0.000433700460577816
"L44","Arabic",0.35522023135415,0.586100773337648,0.585321461918101,0.606241633584933,-0.00338681986896423,-8.89177187135146e-05
"L45","Turkish",0.319632193494579,0.545043175794644,0.545113319191694,0.586582233445944,0.000311083230727355,0.000315346401081492
